"Orthogroup","query","evalue","score","eggNOG_OGs","max_annot_lvl","COG_category","Description","Preferred_name","GOs","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs"
"OG0010682","gene_11927.t1",1.46e-146,412,"KOG0078@1|root,KOG0078@2759|Eukaryota,38GT3@33154|Opisthokonta,3NXRR@4751|Fungi,3QNYK@4890|Ascomycota,20AP0@147545|Eurotiomycetes,3S5RH@5042|Eurotiales","4751|Fungi","U","Rab GTPase SrgA","SEC4","GO:0000003,GO:0000131,GO:0000166,GO:0000910,GO:0001411,GO:0001882,GO:0001883,GO:0002790,GO:0003006,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005628,GO:0005737,GO:0005739,GO:0005740,GO:0005741,GO:0005768,GO:0005783,GO:0005815,GO:0005816,GO:0005856,GO:0005886,GO:0005933,GO:0005934,GO:0005935,GO:0005937,GO:0006810,GO:0006886,GO:0006887,GO:0006892,GO:0006893,GO:0006903,GO:0006904,GO:0006906,GO:0006914,GO:0006996,GO:0007049,GO:0007107,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009306,GO:0009653,GO:0009987,GO:0010927,GO:0012505,GO:0015031,GO:0015630,GO:0015833,GO:0016020,GO:0016043,GO:0016050,GO:0016192,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0017157,GO:0019001,GO:0019867,GO:0019953,GO:0022402,GO:0022406,GO:0022413,GO:0022414,GO:0022607,GO:0023052,GO:0030133,GO:0030154,GO:0030427,GO:0030435,GO:0030437,GO:0031090,GO:0031321,GO:0031410,GO:0031521,GO:0031966,GO:0031967,GO:0031968,GO:0031975,GO:0031982,GO:0032502,GO:0032505,GO:0032506,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032879,GO:0032940,GO:0032989,GO:0032991,GO:0033036,GO:0034293,GO:0034613,GO:0035639,GO:0035690,GO:0035974,GO:0036094,GO:0042221,GO:0042493,GO:0042763,GO:0042764,GO:0042886,GO:0042995,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043332,GO:0043934,GO:0043935,GO:0044085,GO:0044237,GO:0044248,GO:0044422,GO:0044424,GO:0044429,GO:0044430,GO:0044444,GO:0044446,GO:0044463,GO:0044464,GO:0044703,GO:0045184,GO:0046903,GO:0046907,GO:0048193,GO:0048278,GO:0048284,GO:0048468,GO:0048646,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051046,GO:0051049,GO:0051179,GO:0051234,GO:0051286,GO:0051301,GO:0051321,GO:0051640,GO:0051641,GO:0051648,GO:0051649,GO:0051650,GO:0051656,GO:0051704,GO:0051716,GO:0060627,GO:0061024,GO:0061025,GO:0061919,GO:0065007,GO:0070727,GO:0070887,GO:0071702,GO:0071705,GO:0071840,GO:0071944,GO:0072657,GO:0072659,GO:0090174,GO:0097159,GO:0097367,GO:0097708,GO:0098588,GO:0098805,GO:0098876,GO:0120025,GO:0120038,GO:0140029,GO:0140056,GO:1901265,GO:1901363,GO:1903046,GO:1903530,GO:1990778","-","ko:K07901,ko:K18158","ko04144,ko04152,ko04530,ko04972,map04144,map04152,map04530,map04972","-","-","-","ko00000,ko00001,ko03029,ko03036,ko04031,ko04131,ko04147","-","-","-","Ras"
"OG0010682","gene_11927.t1",0,1216,"COG2303@1|root,KOG1238@2759|Eukaryota,38UEK@33154|Opisthokonta,3NWDN@4751|Fungi,3QJNB@4890|Ascomycota,20BXA@147545|Eurotiomycetes,3SAN8@5042|Eurotiales","4751|Fungi","E","GMC oxidoreductase","-","-","-","-","-","-","-","-","-","-","-","-","GMC_oxred_C,GMC_oxred_N"
"OG0010682","gene_11927.t1",0,1082,"KOG0255@1|root,KOG0255@2759|Eukaryota,38C4U@33154|Opisthokonta,3NYEZ@4751|Fungi,3QN9P@4890|Ascomycota,20Q6K@147545|Eurotiomycetes,3SB1S@5042|Eurotiales","4751|Fungi","S","Major Facilitator Superfamily","-","-","-","-","-","-","-","-","-","-","-","-","MFS_1"
"OG0010682","gene_11927.t1",2.41e-253,706,"28JD1@1|root,2QRRW@2759|Eukaryota,39WXI@33154|Opisthokonta,3NXSC@4751|Fungi,3RJE7@4890|Ascomycota,20F8U@147545|Eurotiomycetes,3S6MS@5042|Eurotiales","4751|Fungi","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Fungal_trans,Zn_clus"
"OG0010962","gene_00423.t1",3.31e-198,549,"2ASV5@1|root,2RZQS@2759|Eukaryota,38CD3@33154|Opisthokonta,3NY06@4751|Fungi,3QQ7P@4890|Ascomycota,20AM2@147545|Eurotiomycetes,3S3XS@5042|Eurotiales","4751|Fungi","S","FK506 suppressor Sfk1","-","GO:0000323,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005773,GO:0005886,GO:0005887,GO:0006996,GO:0007010,GO:0007033,GO:0007154,GO:0007165,GO:0008150,GO:0009987,GO:0016020,GO:0016021,GO:0016043,GO:0023052,GO:0030029,GO:0030036,GO:0031224,GO:0031226,GO:0035556,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0048017,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0071840,GO:0071944","-","-","-","-","-","-","-","-","-","-","Frag1"
"OG0010962","gene_00423.t1",3.98e-74,223,"KOG3457@1|root,KOG3457@2759|Eukaryota,3A8H3@33154|Opisthokonta,3P6QV@4751|Fungi,3QWNG@4890|Ascomycota,20HEV@147545|Eurotiomycetes,3S8ZS@5042|Eurotiales","4751|Fungi","U","Necessary for protein translocation in the endoplasmic reticulum","SBH1","GO:0003674,GO:0005085,GO:0005086,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005784,GO:0005789,GO:0005791,GO:0006605,GO:0006612,GO:0006613,GO:0006614,GO:0006616,GO:0006620,GO:0006810,GO:0006886,GO:0008104,GO:0008150,GO:0012505,GO:0015031,GO:0015833,GO:0016020,GO:0019899,GO:0030867,GO:0031090,GO:0031204,GO:0031205,GO:0031984,GO:0032991,GO:0033036,GO:0033365,GO:0034613,GO:0042175,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0045047,GO:0045184,GO:0046907,GO:0051020,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055085,GO:0065002,GO:0065007,GO:0065009,GO:0070727,GO:0070972,GO:0071256,GO:0071261,GO:0071702,GO:0071705,GO:0071806,GO:0072594,GO:0072599,GO:0072657,GO:0090150,GO:0098588,GO:0098772,GO:0098796,GO:0098827","-","ko:K09481","ko03060,ko04141,ko04145,ko05110,map03060,map04141,map04145,map05110","M00401","-","-","ko00000,ko00001,ko00002,ko02044","3.A.5.4,3.A.5.8,3.A.5.9","-","-","Sec61_beta"
"OG0010962","gene_00423.t1",4.21e-285,779,"COG4677@1|root,2R6WA@2759|Eukaryota,38GBK@33154|Opisthokonta,3NWW0@4751|Fungi,3QPEG@4890|Ascomycota,20JKU@147545|Eurotiomycetes,3S5QF@5042|Eurotiales","4751|Fungi","G","Pectin methylesterase","-","-","3.1.1.11","ko:K01051","ko00040,ko01100,map00040,map01100","M00081","R02362","RC00460,RC00461","ko00000,ko00001,ko00002,ko01000","-","-","-","Pectinesterase"
"OG0010962","gene_00423.t1",0,934,"COG0366@1|root,KOG0471@2759|Eukaryota,38EYC@33154|Opisthokonta,3NV3E@4751|Fungi,3QK27@4890|Ascomycota,20CA0@147545|Eurotiomycetes,3S3PZ@5042|Eurotiales","4751|Fungi","G","alpha-amylase","-","GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0004553,GO:0004556,GO:0005488,GO:0005509,GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0005975,GO:0005976,GO:0007049,GO:0008150,GO:0008152,GO:0008360,GO:0009272,GO:0009653,GO:0009897,GO:0009986,GO:0009987,GO:0010927,GO:0016020,GO:0016043,GO:0016160,GO:0016787,GO:0016798,GO:0019953,GO:0022402,GO:0022413,GO:0022414,GO:0022603,GO:0022604,GO:0022607,GO:0030154,GO:0030312,GO:0030435,GO:0030437,GO:0030476,GO:0031224,GO:0031225,GO:0031226,GO:0031233,GO:0031362,GO:0031505,GO:0032502,GO:0032505,GO:0032989,GO:0034293,GO:0042244,GO:0042546,GO:0043167,GO:0043169,GO:0043170,GO:0043934,GO:0043935,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044262,GO:0044264,GO:0044425,GO:0044459,GO:0044464,GO:0044703,GO:0045229,GO:0046379,GO:0046658,GO:0046872,GO:0048468,GO:0048646,GO:0048856,GO:0048869,GO:0050789,GO:0050793,GO:0050794,GO:0051128,GO:0051321,GO:0051704,GO:0065007,GO:0065008,GO:0070590,GO:0070591,GO:0070726,GO:0071554,GO:0071555,GO:0071704,GO:0071840,GO:0071852,GO:0071940,GO:0071944,GO:0098552,GO:1903046","3.2.1.1","ko:K01176","ko00500,ko01100,ko04973,map00500,map01100,map04973","-","R02108,R02112,R11262","-","ko00000,ko00001,ko01000","-","GH13","-","Alpha-amylase,DUF1966"
"OG0010962","gene_00423.t1",2.52e-32,112,"2D5CQ@1|root,2SY3V@2759|Eukaryota","2759|Eukaryota","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Tom6"
"OG0010979","gene_09645.t1",0,1286,"KOG1125@1|root,KOG1125@2759|Eukaryota,38C1T@33154|Opisthokonta,3NUGJ@4751|Fungi,3QK59@4890|Ascomycota,20BMT@147545|Eurotiomycetes,3S5ND@5042|Eurotiales","4751|Fungi","S","Peroxisomal targeting","PEX5","GO:0000268,GO:0003674,GO:0005048,GO:0005052,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005777,GO:0005778,GO:0005829,GO:0006082,GO:0006605,GO:0006625,GO:0006629,GO:0006631,GO:0006635,GO:0006810,GO:0006886,GO:0006996,GO:0007031,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009062,GO:0009987,GO:0015031,GO:0015833,GO:0015919,GO:0016020,GO:0016042,GO:0016043,GO:0016054,GO:0016558,GO:0016560,GO:0017038,GO:0019395,GO:0019752,GO:0030258,GO:0030674,GO:0031090,GO:0031903,GO:0032787,GO:0032991,GO:0033036,GO:0033218,GO:0033365,GO:0034440,GO:0034613,GO:0042277,GO:0042579,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043574,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0044422,GO:0044424,GO:0044438,GO:0044439,GO:0044444,GO:0044446,GO:0044464,GO:0044743,GO:0045184,GO:0046395,GO:0046907,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055085,GO:0055114,GO:0060090,GO:0065002,GO:0070727,GO:0071702,GO:0071704,GO:0071705,GO:0071806,GO:0071840,GO:0072329,GO:0072594,GO:0072662,GO:0072663,GO:0098588,GO:0098805,GO:1901575,GO:1990351,GO:1990415,GO:1990429","-","ko:K12261,ko:K13342","ko04146,map04146","-","-","-","ko00000,ko00001,ko01000,ko04131","3.A.20.1","-","-","TPR_1,TPR_16,TPR_2,TPR_8"
"OG0010979","gene_09645.t1",4.04e-207,572,"2EEGY@1|root,2SJWV@2759|Eukaryota,3A19A@33154|Opisthokonta,3P32U@4751|Fungi,3QUFF@4890|Ascomycota,20R2E@147545|Eurotiomycetes,3SAA6@5042|Eurotiales","4751|Fungi","S","Eukaryotic protein of unknown function (DUF829)","-","-","-","-","-","-","-","-","-","-","-","-","DUF829"
"OG0010979","gene_09645.t1",7.85e-179,500,"2CRRA@1|root,2S47U@2759|Eukaryota,3A1F9@33154|Opisthokonta,3P21D@4751|Fungi,3QU11@4890|Ascomycota,20H80@147545|Eurotiomycetes,3S8X5@5042|Eurotiales","4751|Fungi","S","SUR7/PalI family","-","-","-","-","-","-","-","-","-","-","-","-","SUR7"
"OG0010979","gene_09645.t1",0.000541,53.1,"2D2QD@1|root,2SNM0@2759|Eukaryota,3A1A8@33154|Opisthokonta,3P1U2@4751|Fungi,3QJDT@4890|Ascomycota,216RB@147550|Sordariomycetes,1F4N4@1028384|Glomerellales","4751|Fungi","S","Heterokaryon incompatibility protein (HET)","-","-","-","-","-","-","-","-","-","-","-","-","HET"
"OG0010979","gene_09645.t1",5.96e-237,650,"KOG4754@1|root,KOG4754@2759|Eukaryota,38T15@33154|Opisthokonta,3NWTI@4751|Fungi,3QRZH@4890|Ascomycota,20BV7@147545|Eurotiomycetes,3S4MT@5042|Eurotiales","4751|Fungi","G","Phosphoglycerate mutase family","PMU1","GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464","-","-","-","-","-","-","-","-","-","-","His_Phos_1"
"OG0011183","gene_13162.t1",3.9e-30,115,"2CZ2E@1|root,2S808@2759|Eukaryota,39YK6@33154|Opisthokonta,3NZSR@4751|Fungi,3QTM4@4890|Ascomycota,20FJQ@147545|Eurotiomycetes,3SA22@5042|Eurotiales","4751|Fungi","S","Encoded by","-","-","-","-","-","-","-","-","-","-","-","-","DDE_3,HTH_23,HTH_33"
"OG0011197","gene_04650.t1",8.29e-124,356,"COG0625@1|root,KOG0867@2759|Eukaryota,3A2YB@33154|Opisthokonta,3P3EV@4751|Fungi,3RJJB@4890|Ascomycota","4751|Fungi","J","Glutathione S-transferase, N-terminal domain","-","-","-","ko:K03233","ko05134,map05134","-","-","-","ko00000,ko00001,ko03012,ko03019","-","-","-","GST_C,GST_N"
"OG0011197","gene_04650.t1",0,4566,"COG3321@1|root,KOG1202@2759|Eukaryota,38D6P@33154|Opisthokonta,3NVHI@4751|Fungi,3QNN7@4890|Ascomycota,20RVG@147545|Eurotiomycetes,3SAI8@5042|Eurotiales","4751|Fungi","Q","PKS_DH","-","-","-","-","-","-","-","-","-","-","-","-","ADH_N,ADH_zinc_N,Acyl_transf_1,FSH1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,ketoacyl-synt"
"OG0011197","gene_04650.t1",0,2724,"COG0464@1|root,KOG0736@2759|Eukaryota,39HQ2@33154|Opisthokonta,3NVEI@4751|Fungi,3QR29@4890|Ascomycota,20DMN@147545|Eurotiomycetes,3S3MI@5042|Eurotiales","4751|Fungi","O","peroxisome","PEX6","GO:0001302,GO:0001881,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005777,GO:0005829,GO:0006082,GO:0006605,GO:0006625,GO:0006629,GO:0006631,GO:0006810,GO:0006886,GO:0006996,GO:0007031,GO:0007568,GO:0007569,GO:0008104,GO:0008150,GO:0008152,GO:0009987,GO:0015031,GO:0015833,GO:0015919,GO:0016043,GO:0016462,GO:0016558,GO:0016562,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017038,GO:0017111,GO:0019752,GO:0023051,GO:0032502,GO:0032787,GO:0033036,GO:0033365,GO:0034613,GO:0042579,GO:0042886,GO:0043112,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043574,GO:0044237,GO:0044238,GO:0044255,GO:0044260,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044743,GO:0045184,GO:0046907,GO:0046982,GO:0046983,GO:0048869,GO:0050789,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055085,GO:0065002,GO:0065007,GO:0070727,GO:0071702,GO:0071704,GO:0071705,GO:0071806,GO:0071840,GO:0072594,GO:0072662,GO:0072663","-","ko:K13339","ko04146,map04146","-","-","-","ko00000,ko00001,ko04131","3.A.20.1","-","-","AAA"
"OG0011197","gene_04650.t1",0,1123,"KOG0255@1|root,KOG0255@2759|Eukaryota,38BQW@33154|Opisthokonta,3NTXQ@4751|Fungi,3QPZR@4890|Ascomycota,20E81@147545|Eurotiomycetes,3S2VD@5042|Eurotiales","4751|Fungi","S","Synaptic vesicle transporter SVOP and related transporters","-","GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0006865,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015318,GO:0015711,GO:0015849,GO:0016020,GO:0022857,GO:0034220,GO:0044464,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0098656,GO:1903825,GO:1905039","-","-","-","-","-","-","-","-","-","-","MFS_1"
"OG0011197","gene_04650.t1",2.06e-197,550,"2E333@1|root,2SA85@2759|Eukaryota,3A9X7@33154|Opisthokonta,3P7JD@4751|Fungi,3QYXR@4890|Ascomycota,20I6R@147545|Eurotiomycetes,3S9I1@5042|Eurotiales","4751|Fungi","S","DNA binding domain with preference for A/T rich regions","-","-","-","-","-","-","-","-","-","-","-","-","-"
"OG0011197","gene_04650.t1",0,981,"COG2124@1|root,KOG0156@2759|Eukaryota,38BSU@33154|Opisthokonta,3NUFV@4751|Fungi,3QSVE@4890|Ascomycota,20FN2@147545|Eurotiomycetes,3S5CD@5042|Eurotiales","4751|Fungi","Q","cytochrome P450","ftmP450-2","-","1.14.21.10","ko:K17827","ko00404,ko01130,map00404,map01130","M00786","R10416","RC03175","ko00000,ko00001,ko00002,ko00199,ko01000","-","-","-","p450"
"OG0011197","gene_04650.t1",2.12e-198,573,"2D1JS@1|root,2SICY@2759|Eukaryota,3A0PH@33154|Opisthokonta,3P1RI@4751|Fungi,3QV3S@4890|Ascomycota,20HJK@147545|Eurotiomycetes","4751|Fungi","S","Heterokaryon incompatibility protein (HET)","-","-","-","-","-","-","-","-","-","-","-","-","HET"
