Orthogroup	Aspergillus_eucalypticola	Aspergillus_luchuensis	Aspergillus_neoniger	Aspergillus_niger_ASM285	Aspergillus_niger_CBS101883	Aspergillus_piperis	Aspergillus_tubingensis	Aspergillus_vadensis	Aspergillus_welwitschiae_cbs	Aspergillus_welwitschiae_ccmb663	Aspergillus_welwitschiae_ccmb674	Aspergillus_welwitschiae_ihem	Aspergillus_welwitschiae_imrd1	Aspergillus_welwitschiae_item	Aspergillus_welwitschiae_ocstreb1	Aspergillus_welwitschiae_ref_cbs	Neurospora_crassa
OG0002000	XP_025382717.1	XP_041537905.1	XP_025474987.1	XP_001400542.1	XP_025458577.1	XP_025513571.1	XP_035355896.1	XP_025562606.1	gene_09541.t1	gene_04143.t1	gene_08966.t1	gene_00273.t1	gene_02146.t1	gene_03047.t1	gene_02075.t1	XP_026623098.1	XP_957350.1
OG0002001	XP_025382719.1	XP_041537907.1	XP_025474990.1		XP_025458580.1	XP_025513569.1	XP_035355898.1	"XP_025560838.1, XP_025560980.1, XP_025562604.1"	gene_09539.t1	gene_04141.t1	gene_08968.t1	gene_00275.t1	gene_02148.t1	gene_03045.t1	gene_02077.t1	XP_026623096.1	
OG0002002	XP_025382724.1	XP_041537910.1	XP_025474995.1	XP_001400548.1	XP_025458585.1	XP_025513564.1	XP_035355901.1	XP_025562598.1	gene_09531.t1	gene_09170.t1	gene_08973.t1	gene_00283.t1	gene_02155.t1	gene_03037.t1	gene_02085.t1	XP_026623090.1	XP_956933.1
OG0002003	XP_025382727.1	XP_041537911.1	XP_025474997.1	XP_001400550.1	XP_025458587.1	XP_025513562.1	XP_035355902.1	XP_025562597.1	gene_09530.t1	gene_09169.t1	gene_08974.t1	gene_00284.t1	gene_02156.t1	gene_03036.t1	gene_02087.t1	XP_026623089.1	XP_958609.1
OG0002004	XP_025382731.1	XP_041537914.1	XP_025475000.1	XP_001400553.1	XP_025458591.1	XP_025513559.1	XP_035355905.1	XP_025562594.1	gene_09527.t1	gene_09166.t1	gene_08977.t1	gene_00287.t1	gene_02160.t1	gene_03033.t1	gene_02090.t1	XP_026623086.1	XP_955799.1
OG0002005	XP_025382732.1	XP_041537915.1	XP_025475001.1	XP_059605723.1	XP_025458592.1	XP_025513558.1	XP_035355906.1	XP_025562593.1	gene_09526.t1	gene_09165.t1	gene_08978.t1	gene_00288.t1	gene_02161.t1	gene_03032.t1	gene_02091.t1	XP_026623085.1	XP_958273.1
OG0002006	XP_025382735.1	XP_041537918.1	XP_025475005.1	XP_059605726.1	XP_025458597.1	XP_025513554.1	XP_035355909.1	XP_025562590.1	gene_09522.t1	gene_09161.t1	gene_08982.t1	gene_00292.t1	gene_02165.t1	gene_03028.t1	gene_02095.t1	XP_026623081.1	XP_957383.1
OG0002007	XP_025382736.1	XP_041537919.1	XP_025475006.1	XP_059605727.1	XP_025458598.1	XP_025513553.1	XP_035355910.1	XP_025562589.1	gene_09521.t1	gene_09160.t1	gene_08983.t1	gene_00293.t1	gene_02166.t1	gene_03027.t1	gene_02096.t1	XP_026623080.1	XP_956101.2
OG0002008	XP_025382740.1	XP_041537922.1	XP_025475009.1	XP_001400564.3	XP_025458602.1	XP_025513550.1	XP_035355913.1	XP_025562586.1	gene_09517.t1	gene_09157.t1	gene_08987.t1	gene_00297.t1	gene_02170.t1	gene_03024.t1	gene_02100.t1	XP_026623076.1	XP_964127.2
OG0002009	XP_025382741.1	XP_041537923.1	XP_025475010.1	XP_001400565.1	XP_025458603.1	XP_025513549.1	XP_035355914.1	XP_025562585.1	gene_09516.t1	gene_09156.t1	gene_08988.t1	gene_00298.t1	gene_02171.t1	gene_03023.t1	gene_02101.t1	XP_026623075.1	XP_961417.1
OG0002010	XP_025382742.1	XP_041537924.1	XP_025475011.1	XP_059605729.1	XP_025458604.1	XP_025513548.1	XP_035355915.1	XP_025562584.1	gene_09515.t1	gene_09155.t1	gene_08989.t1	gene_00299.t1	gene_02172.t1	gene_03022.t1	gene_02102.t1	XP_026623074.1	XP_964124.2
OG0002011	XP_025382743.1	XP_041537925.1	XP_025475012.1	XP_059605730.1	XP_025458605.1	XP_025513547.1	XP_035355916.1	XP_025562583.1	gene_09514.t1	gene_09154.t1	gene_08990.t1	gene_00300.t1	gene_02173.t1	gene_03021.t1	gene_02103.t1	XP_026623073.1	XP_965404.1
OG0002012	XP_025382746.1	XP_041537928.1	XP_025474249.1	XP_059605732.1	XP_025458608.1	XP_025513544.1	XP_035355919.1	XP_025562580.1	gene_09511.t1	gene_09151.t1	gene_08993.t1	gene_00303.t1	gene_02176.t1	gene_03018.t1	gene_02106.t1	XP_026623070.1	XP_963725.2
OG0002013	XP_025382747.1	XP_041537929.1	XP_025474248.1	XP_001400571.3	XP_025458609.1	XP_025513543.1	XP_035355920.1	XP_025562579.1	gene_09510.t1	gene_09150.t1	gene_08994.t1	gene_00304.t1	gene_02177.t1	gene_03017.t1	gene_02107.t1	XP_026623069.1	XP_001728368.2
OG0002014	XP_025382748.1	XP_041537930.1	XP_025474247.1	XP_001400572.1	XP_025458610.1	XP_025513542.1	XP_035355921.1	XP_025562578.1	gene_09509.t1	gene_09149.t1	gene_08995.t1	gene_00305.t1	gene_02178.t1	gene_03016.t1	gene_02108.t1	XP_026623068.1	XP_964410.1
OG0002015	XP_025382750.1	XP_041537932.1	XP_025474244.1	XP_059605735.1	XP_025458613.1	XP_025513540.1	XP_035355922.1	XP_025562577.1	gene_09506.t1	gene_09147.t1	gene_08997.t1	gene_00307.t1	gene_02181.t1	gene_03012.t1	gene_02110.t1	XP_026623064.1	XP_964218.1
OG0002016	XP_025382751.1	XP_041537933.1	XP_025474243.1	XP_001400576.1	XP_025458614.1	XP_025513539.1	XP_035355923.1	XP_025562576.1	gene_09505.t1	gene_09146.t1	gene_08998.t1	gene_00308.t1	gene_02182.t1	gene_03011.t1	gene_02111.t1	XP_026623063.1	XP_964217.1
OG0002017	XP_025382753.1	XP_041537935.1	XP_025474240.1	XP_001400579.1	XP_025458617.1	XP_025513537.1	XP_035355925.1	XP_025562574.1	gene_09503.t1	gene_09144.t1	gene_09000.t1	gene_00310.t1	gene_02184.t1	gene_03009.t1	gene_02113.t1	XP_026623060.1	XP_957577.2
OG0002018	XP_025382755.1	XP_041537937.1	XP_025474238.1	XP_001400581.1	XP_025458619.1	XP_025513535.1	XP_035355927.1	XP_025562572.1	gene_09501.t1	gene_09142.t1	gene_09002.t1	gene_00312.t1	gene_02186.t1	gene_03007.t1	gene_02115.t1	XP_026623058.1	XP_959751.3
OG0002019	XP_025382758.1	XP_041537940.1	XP_025474235.1	XP_001400585.1	XP_025458622.1	XP_025513532.1	XP_035355931.1	XP_025562569.1	gene_09497.t1	gene_09138.t1	gene_09006.t1	gene_00316.t1	gene_02190.t1	gene_03003.t1	gene_02119.t1	XP_026623055.1	XP_965672.1
OG0002020	XP_025382760.1	XP_041537941.1	XP_025474233.1	XP_001400588.1	XP_025458625.1	XP_025513530.1	XP_035355932.1	XP_025562568.1	gene_09496.t1	gene_09137.t1	gene_09007.t1	gene_00317.t1	gene_02191.t1	gene_03002.t1	gene_02120.t1	XP_026623054.1	XP_956780.2
OG0002021	XP_025382761.1	XP_041537942.1	XP_025474232.1	XP_001400589.1	XP_025458626.1	XP_025513529.1	XP_035355933.1	XP_025562567.1	gene_09495.t1	gene_09136.t1	gene_09008.t1	gene_00318.t1	gene_02192.t1	gene_03001.t1	gene_02121.t1	XP_026623053.1	XP_961618.3
OG0002022	XP_025382762.1	XP_041537945.1	XP_025474231.1	XP_059605741.1	XP_025458628.1	XP_025513528.1	XP_035355936.1	XP_025562565.1	gene_09492.t1	gene_09133.t1	gene_09011.t1	gene_00321.t1	gene_02195.t1	gene_02998.t1	gene_02124.t1	XP_026623051.1	XP_958857.2
OG0002023	XP_025382765.1	XP_041537948.1	XP_025474228.1	XP_059605743.1	XP_025458630.1	XP_025513525.1	XP_035355939.1	XP_025562563.1	gene_09489.t1	gene_09130.t1	gene_09014.t1	gene_00324.t1	gene_02198.t1	gene_02995.t1	gene_02127.t1	XP_026623048.1	XP_960790.1
OG0002024	XP_025382766.1	XP_041537949.1	XP_025474227.1	XP_059605744.1	XP_025458631.1	XP_025513524.1	XP_035355940.1	XP_025562562.1	gene_09488.t1	gene_09129.t1	gene_09015.t1	gene_00325.t1	gene_02199.t1	gene_02994.t1	gene_02128.t1	XP_026623047.1	XP_961232.3
OG0002025	XP_025382768.1	XP_041537950.1	XP_025474225.1	XP_059605746.1	XP_025458632.1	XP_025513522.1	XP_035355941.1	XP_025562560.1	gene_09487.t1	gene_09128.t1	gene_09016.t1	gene_00326.t1	gene_02200.t1	gene_02993.t1	gene_02129.t1	XP_026623046.1	XP_011394849.1
OG0002026	XP_025382769.1	XP_041537951.1	XP_025474224.1	XP_001400600.1	XP_025458633.1	XP_025513521.1	XP_035355942.1	XP_025562558.1	gene_09486.t1	gene_09127.t1	gene_09017.t1	gene_00327.t1	gene_02201.t1	gene_02992.t1	gene_02130.t1	XP_026623045.1	XP_964688.1
OG0002027	XP_025382772.1	XP_041537954.1	XP_025474221.1	XP_059605748.1	XP_025458636.1	XP_025513518.1	XP_035355945.1	XP_025562555.1	gene_09483.t1	gene_09124.t1	gene_09020.t1	gene_00330.t1	gene_02204.t1	gene_02989.t1	gene_02133.t1	XP_026623042.1	XP_965116.2
OG0002028	XP_025382773.1	XP_041537955.1	XP_025474220.1	XP_001400604.1	XP_025458637.1	XP_025513517.1	XP_035355946.1	XP_025562554.1	gene_09482.t1	gene_09123.t1	gene_09021.t1	gene_00331.t1	gene_02205.t1	gene_02988.t1	gene_02134.t1	XP_026623041.1	XP_965686.2
OG0002029	XP_025382774.1	XP_041537956.1	XP_025474219.1	XP_059605749.1	XP_025458638.1	XP_025513516.1	XP_035355947.1	XP_025562553.1	gene_09481.t1	gene_09122.t1	gene_09022.t1	gene_00332.t1	gene_02206.t1	gene_02987.t1	gene_02135.t1	XP_026623040.1	XP_964993.2
OG0002030	XP_025382776.1	XP_041537958.1	XP_025474217.1	XP_001400608.1	XP_025458640.1	XP_025513514.1	XP_035355949.1	XP_025562551.1	gene_09479.t1	gene_09120.t1	gene_09024.t1	gene_00334.t1	gene_02208.t1	gene_02985.t1	gene_02137.t1	XP_026623038.1	XP_965029.1
OG0002031	XP_025382777.1	XP_041537959.1	XP_025474216.1	XP_001400609.1	XP_025458641.1	XP_025513513.1	XP_035355950.1	XP_025562550.1	gene_09478.t1	gene_09119.t1	gene_09025.t1	gene_00335.t1	gene_02209.t1	gene_02984.t1	gene_02138.t1	XP_026623037.1	XP_959167.1
OG0002032	XP_025382778.1	XP_041537960.1	XP_025474215.1	XP_059605752.1	XP_025458642.1	XP_025513512.1	XP_035355951.1	XP_025562549.1	gene_09477.t1	gene_09118.t1	gene_09026.t1	gene_00336.t1	gene_02210.t1	gene_02983.t1	gene_02139.t1	XP_026623036.1	XP_965051.3
OG0002033	XP_025382779.1	XP_041537961.1	XP_025474214.1	XP_001400611.3	XP_025458643.1	XP_025513511.1	XP_035355952.1	XP_025562548.1	gene_09475.t1	gene_09116.t1	gene_09028.t1	gene_00338.t1	gene_02212.t1	gene_02981.t1	gene_02141.t1	XP_026623035.1	XP_958321.3
OG0002034	XP_025382780.1	XP_041537962.1	XP_025474213.1	XP_001400612.1	XP_025458644.1	XP_025513510.1	XP_035355953.1	XP_025562547.1	gene_09474.t1	gene_09115.t1	gene_09029.t1	gene_00339.t1	gene_02213.t1	gene_02980.t1	gene_02142.t1	XP_026623034.1	XP_958288.3
OG0002035	XP_025382781.1	XP_041537963.1	XP_025474212.1	XP_001400613.1	XP_025458645.1	XP_025513509.1	XP_035355954.1	XP_025562546.1	gene_09473.t1	gene_09114.t1	gene_09030.t1	gene_00340.t1	gene_02214.t1	gene_02979.t1	gene_02143.t1	XP_026623033.1	XP_961229.1
OG0002036	XP_025382784.1	XP_041537965.1	XP_025474209.1	XP_059605753.1	XP_025458648.1	XP_025513506.1	XP_035355956.1	XP_025562543.1	gene_09470.t1	gene_09111.t1	gene_09033.t1	gene_00342.t1	gene_02216.t1	gene_02977.t1	gene_02145.t1	XP_026623030.1	XP_960898.1
OG0002037	XP_025382785.1	XP_041537966.1	XP_025474208.1	XP_059605754.1	XP_025458649.1	XP_025513505.1	XP_035355957.1	XP_025562542.1	gene_09469.t1	gene_09110.t1	gene_09034.t1	gene_00343.t1	gene_02217.t1	gene_02976.t1	gene_02146.t1	XP_026623029.1	XP_960920.3
OG0002038	XP_025382786.1	XP_041537967.1	XP_025474207.1	XP_001400618.1	XP_025458650.1	XP_025513504.1	XP_035355958.1	XP_025562541.1	gene_09468.t1	gene_09109.t1	gene_09035.t1	gene_00344.t1	gene_02218.t1	gene_02975.t1	gene_02147.t1	XP_026623028.1	XP_957381.1
OG0002039	XP_025382789.1	XP_041537970.1	XP_025474204.1	XP_059600146.1	XP_025458653.1	XP_025513501.1	XP_035355961.1	XP_025562538.1	gene_09465.t1	gene_09106.t1	gene_09038.t1	gene_00347.t1	gene_02221.t1	gene_02972.t1	gene_02150.t1	XP_026623025.1	XP_956580.1
OG0002040	XP_025382791.1	XP_041537972.1	XP_025474202.1	XP_001400624.1	XP_025458655.1	XP_025513499.1	XP_035355963.1	XP_025562536.1	gene_09463.t1	gene_09104.t1	gene_09040.t1	gene_00349.t1	gene_02223.t1	gene_02970.t1	gene_02152.t1	XP_026623023.1	XP_960042.1
OG0002041	XP_025382793.1	XP_041537974.1	XP_025474200.1	XP_001400627.1	XP_025458657.1	XP_025513497.1	XP_035355965.1	XP_025562534.1	gene_09461.t1	gene_09102.t1	gene_09042.t1	gene_00351.t1	gene_02225.t1	gene_02968.t1	gene_02154.t1	XP_026623021.1	XP_961333.1
OG0002042	"XP_025382801.1, XP_025389272.1"	XP_041546546.1	XP_025475511.1		XP_025449068.1	XP_025516986.1	XP_035352566.1	XP_025564772.1	gene_09179.t1	gene_05932.t1	gene_10394.t1	gene_04169.t1	gene_08707.t1	gene_10830.t1	gene_00241.t1	XP_026623319.1	XP_011394768.1
OG0002043	"XP_025382802.1, XP_025392237.1"	XP_041548515.1	XP_025482979.1	XP_001394602.1	XP_025448449.1	XP_025513213.1	XP_035357886.1	XP_025569075.1	gene_03438.t1	gene_05529.t1	gene_08187.t1	gene_05101.t1	gene_02810.t1	gene_09448.t1	gene_07257.t1	XP_026629246.1	
OG0002044	XP_025382854.1	XP_041546834.1	XP_025479401.1	"XP_059603751.1, XP_059607006.1"	XP_025451350.1	XP_025517270.1	XP_035352274.1	XP_025557610.1	gene_10585.t1	gene_09527.t1	gene_04587.t1	gene_08843.t1	gene_12987.t1	gene_06870.t1	gene_12047.t1	XP_026622006.1	
OG0002045	XP_025382858.1	XP_041546829.1	XP_025479405.1	XP_059607003.1	XP_025451345.1	XP_025517266.1	XP_035352277.1	XP_025557606.1	gene_10579.t1	gene_09521.t1	gene_04581.t1	gene_08836.t1	gene_12982.t1	gene_06864.t1	gene_12054.t1	XP_026622002.1	XP_962483.1
OG0002046	XP_025382870.1	XP_041546817.1	XP_025479417.1	XP_001396059.1	XP_025451333.1	XP_025517254.1	XP_035352289.1	XP_025557594.1	gene_10567.t1	gene_09509.t1	gene_04569.t1	gene_08824.t1	gene_12970.t1	gene_06852.t1	gene_12065.t1	XP_026621990.1	XP_961684.1
OG0002047	XP_025382871.1	XP_041546816.1	XP_025479418.1	XP_059606996.1	XP_025451332.1	XP_025517253.1	XP_035352290.1	XP_025557593.1	gene_10566.t1	gene_09508.t1	"gene_04568.t1, gene_11169.t1"	gene_08823.t1	gene_12969.t1	gene_06851.t1	gene_12066.t1	XP_026621989.1	
OG0002048	XP_025382872.1	XP_041546815.1	XP_025479419.1	XP_001396057.1	XP_025451331.1	XP_025517252.1	XP_035352291.1	XP_025557592.1	gene_10565.t1	gene_09507.t1	gene_04567.t1	gene_08822.t1	gene_12968.t1	gene_06850.t1	gene_12067.t1	XP_026621988.1	XP_959834.1
OG0002049	XP_025382888.1	XP_041546798.1	XP_025479437.1	XP_059606988.1	XP_025451317.1	XP_025517236.1	XP_035352306.1	XP_025557577.1	gene_10550.t1	gene_06580.t1	"gene_04551.t1, gene_04552.t1"	gene_11918.t1	gene_12952.t1	gene_11400.t1	gene_12083.t1	XP_026621974.1	
OG0002050	XP_025382901.1	XP_041546786.1	XP_025479449.1	XP_001396033.3	XP_025451307.1	XP_025517225.1		"XP_025557564.1, XP_025558147.1, XP_025564243.1"	gene_10539.t1	gene_06590.t1	gene_04540.t1	gene_11908.t1	gene_12940.t1	gene_12854.t1	gene_12094.t1	XP_026621964.1	
OG0002051	XP_025382902.1	XP_041546785.1	XP_025479450.1	XP_001396032.3	XP_025451306.1	XP_025517224.1	XP_035352328.1	XP_025557563.1	gene_10538.t1	gene_06591.t1	"gene_04539.t1, gene_10386.t1"	gene_11907.t1	gene_12939.t1	gene_12855.t1	gene_12095.t1	XP_026621963.1	
OG0002052	XP_025382905.1	XP_041541588.1	XP_025483472.1	XP_059602939.1	XP_025449225.1	XP_025512886.1	XP_035351187.1	XP_025565330.1	gene_07595.t1	gene_04424.t1	gene_00266.t1	gene_09693.t1	gene_01844.t1	gene_07782.t1	gene_01607.t1	XP_026624874.1	XP_962576.2
OG0002053	XP_025382906.1	XP_041541587.1	XP_025483473.1	XP_059602940.1	XP_025449226.1	XP_025512885.1	XP_035351186.1	XP_025565329.1	gene_07596.t1	gene_04425.t1	gene_00267.t1	gene_09692.t1	gene_01845.t1	gene_07781.t1	gene_01608.t1	XP_026624875.1	XP_962267.2
OG0002054	XP_025382907.1	XP_041541586.1	XP_025483474.1	XP_001398917.1	XP_025449227.1	XP_025512884.1	XP_035351185.1	XP_025565328.1	gene_07597.t1	gene_04426.t1	gene_00268.t1	gene_09691.t1	gene_01846.t1	gene_07780.t1	gene_01609.t1	XP_026624876.1	XP_962268.2
OG0002055	XP_025382908.1	XP_041541585.1	XP_025483475.1	XP_001398918.1	XP_025449228.1	XP_025512883.1	XP_035351184.1	XP_025565327.1	gene_07598.t1	gene_04427.t1	gene_00269.t1	gene_09690.t1	gene_01847.t1	gene_07779.t1	gene_01610.t1	XP_026624877.1	XP_962270.2
OG0002056	XP_025382909.1	XP_041541584.1	XP_025483476.1	XP_059602941.1	XP_025449229.1	XP_025512882.1	XP_035351183.1	XP_025565326.1	gene_07599.t1	gene_04428.t1	gene_00270.t1	gene_09689.t1	gene_01848.t1	gene_07778.t1	gene_01611.t1	XP_026624878.1	XP_962276.3
OG0002057	XP_025382910.1	XP_041541583.1	XP_025483477.1	XP_001398920.1	XP_025449230.1	XP_025512881.1	XP_035351182.1	XP_025565325.1	gene_07600.t1	gene_04429.t1	gene_00271.t1	gene_09688.t1	gene_01849.t1	gene_07777.t1	gene_01612.t1	XP_026624879.1	XP_964071.2
OG0002058	XP_025382912.1	XP_041541582.1	XP_025483478.1	XP_001398922.1	XP_025449233.1	XP_025512879.1	XP_035351181.1	XP_025565323.1	gene_07603.t1	gene_04432.t1	gene_00273.t1	gene_09685.t1	gene_01852.t1	gene_07774.t1	gene_01615.t1	XP_026624881.1	XP_962275.1
OG0002059	XP_025382913.1	XP_041541581.1	XP_025483479.1	XP_001398923.1	XP_025449234.1	XP_025512878.1	XP_035351180.1	XP_025565322.1	gene_07604.t1	gene_04433.t1	gene_00274.t1	gene_09684.t1	gene_01853.t1	gene_07773.t1	gene_01616.t1	XP_026624882.1	XP_956325.1
OG0002060	XP_025382914.1	XP_041541580.1	XP_025483480.1	XP_059602943.1	XP_025449235.1	XP_025512877.1	XP_035351179.1	XP_025565321.1	gene_07605.t1	gene_04434.t1	gene_00275.t1	gene_09683.t1	gene_01854.t1	gene_07772.t1	gene_01617.t1	XP_026624883.1	XP_961300.3
OG0002061	XP_025382915.1	XP_041541579.1	XP_025483481.1	XP_059602944.1	XP_025449236.1	XP_025512876.1	XP_035351178.1	XP_025565320.1	gene_07606.t1	gene_04435.t1	gene_00276.t1	gene_09682.t1	gene_01855.t1	gene_07771.t1	gene_01618.t1	XP_026624884.1	XP_957012.1
OG0002062	XP_025382918.1	XP_041541577.1	XP_025483483.1	XP_001398931.3	XP_025449786.1	XP_025512874.1	XP_035351175.1	XP_025565318.1	gene_07608.t1	gene_04438.t1	gene_00279.t1	gene_09679.t1	gene_01859.t1	gene_07767.t1	gene_01621.t1	XP_026624886.1	XP_957263.1
OG0002063	XP_025382919.1	XP_041541575.1	XP_025483484.1	XP_059602953.1	XP_025449790.1	XP_025512872.1	XP_035351173.1	XP_025565316.1	gene_07610.t1	gene_04440.t1	gene_00281.t1	gene_09677.t1	gene_01862.t1	gene_07765.t1	gene_01623.t1	XP_026624887.1	XP_961443.1
OG0002064	XP_025382920.1	XP_041541574.1	XP_025483485.1	XP_001398937.1	XP_025449791.1	XP_025512871.1	XP_035351172.1	XP_025565315.1	gene_07611.t1	gene_04441.t1	gene_00282.t1	gene_09676.t1	gene_01863.t1	gene_07764.t1	gene_01624.t1	XP_026624888.1	XP_961585.2
OG0002065	XP_025382924.1	XP_041541571.1	XP_025483489.1	XP_003188975.1	XP_025449796.1	XP_025512867.1	XP_035351168.1	XP_025565312.1	gene_07616.t1	gene_04446.t1	gene_00288.t1	gene_09670.t1	gene_01869.t1	gene_12558.t1	gene_01629.t1	XP_026624893.1	XP_964868.2
OG0002066	XP_025382927.1	XP_041541569.1	XP_025483491.1	XP_059602958.1	XP_025449798.1	XP_025512865.1	XP_035351166.1	XP_025565310.1	gene_07618.t1	gene_04448.t1	gene_00290.t1	gene_09668.t1	gene_01871.t1	gene_12556.t1	gene_01631.t1	XP_026624896.1	XP_964732.1
OG0002067	XP_025382928.1	XP_041541568.1	XP_025474353.1	XP_001398946.3	XP_025449799.1	XP_025512864.1	XP_035351165.1	XP_025565309.1	gene_07619.t1	gene_04449.t1	gene_00291.t1	gene_09667.t1	gene_01872.t1	gene_12555.t1	gene_01632.t1	XP_026624897.1	XP_964866.1
OG0002068	XP_025382932.1	XP_041541563.1	XP_025474364.1	XP_001398956.1	XP_025449810.1	XP_025512858.1	XP_035351158.1	XP_025565304.1	gene_07625.t1	gene_04455.t1	gene_00299.t1	gene_09662.t1	gene_01877.t1	gene_05013.t1	gene_01637.t1	XP_026624905.1	XP_956611.1
OG0002069	XP_025382934.1	XP_041541562.1	XP_025474365.1	XP_059602967.1	XP_025449812.1	XP_025512857.1	XP_035351157.1	XP_025565303.1	gene_07626.t1	gene_04456.t1	gene_00300.t1	gene_09661.t1	gene_01878.t1	gene_05014.t1	gene_01638.t1	XP_026624906.1	XP_956017.2
OG0002070	XP_025382935.1	XP_041541561.1	XP_025474366.1	XP_059602968.1	XP_025449813.1	XP_025512856.1	XP_035351156.1	XP_025565302.1	gene_07627.t1	gene_04457.t1	gene_00301.t1	gene_09660.t1	gene_01879.t1	gene_05015.t1	gene_01639.t1	XP_026624907.1	XP_965364.2
OG0002071	XP_025382936.1	XP_041541560.1	XP_025474367.1	XP_001398960.1	XP_025449814.1	XP_025512855.1	XP_035351155.1	XP_025565301.1	gene_07628.t1	gene_04458.t1	gene_00302.t1	gene_09659.t1	gene_01880.t1	gene_05016.t1	gene_01640.t1	XP_026624908.1	XP_956011.3
OG0002072	XP_025382937.1	XP_041541558.1	XP_025474368.1	XP_059602969.1	XP_025449815.1	XP_025512854.1	XP_035351153.1	XP_025565300.1	gene_07630.t1	gene_04460.t1	gene_00304.t1	gene_09657.t1	gene_01882.t1	gene_05018.t1	gene_01642.t1	XP_026624909.1	XP_956506.2
OG0002073	XP_025382938.1	XP_041541557.1	XP_025474369.1	XP_001398963.1	XP_025449816.1	XP_025512853.1	XP_035351152.1	XP_025565299.1	gene_07631.t1	gene_04461.t1	gene_00305.t1	gene_09656.t1	gene_01883.t1	gene_05019.t1	gene_01643.t1	XP_026624910.1	XP_963319.2
OG0002074	XP_025382940.1	XP_041541555.1	XP_025474371.1	XP_059602970.1	XP_025449818.1	XP_025512851.1	XP_035351150.1	XP_025565297.1	gene_07633.t1	gene_04463.t1	gene_00307.t1	gene_09654.t1	gene_01885.t1	gene_05021.t1	gene_01646.t1	XP_026624912.1	XP_962151.1
OG0002075	XP_025382941.1	XP_041541554.1	XP_025474372.1	XP_001398966.1	XP_025449819.1	XP_025512850.1	XP_035351149.1	XP_025565296.1	gene_07634.t1	gene_04464.t1	gene_00308.t1	gene_09653.t1	gene_01886.t1	gene_05022.t1	gene_01647.t1	XP_026624913.1	XP_962152.1
OG0002076	XP_025382942.1	XP_041541553.1	XP_025474373.1	XP_001398967.3	XP_025449820.1	XP_025512849.1	XP_035351148.1	XP_025565295.1	gene_07635.t1	gene_04465.t1	gene_00309.t1	gene_07656.t1	gene_01887.t1	gene_05023.t1	gene_01648.t1	XP_026624914.1	XP_963907.1
OG0002077	XP_025382943.1	XP_041541552.1	XP_025474374.1	XP_001398968.1	XP_025449821.1	XP_025512848.1	XP_035351147.1	XP_025565294.1	gene_07636.t1	gene_04466.t1	gene_00310.t1	gene_07655.t1	gene_01888.t1	gene_05024.t1	gene_01649.t1	XP_026624915.1	XP_956914.1
OG0002078	XP_025382946.1	XP_041541549.1	XP_025474377.1	XP_059606590.1	XP_025449824.1	XP_025512845.1	XP_035351144.1	XP_025565291.1	gene_07639.t1	gene_04469.t1	gene_00313.t1	gene_07652.t1	gene_01891.t1	gene_05027.t1	gene_01652.t1	XP_026624918.1	XP_964817.3
OG0002079	XP_025382947.1	XP_041541548.1	XP_025474378.1	XP_001398973.3	XP_025449825.1	XP_025512844.1	XP_035351143.1	XP_025565290.1	gene_07640.t1	gene_04470.t1	gene_00314.t1	gene_07651.t1	gene_01892.t1	gene_05028.t1	gene_01653.t1	XP_026624919.1	XP_963910.1
OG0002080	XP_025382949.1	XP_041541545.1	XP_025474381.1	XP_001398977.1	XP_025449828.1	XP_025512842.1	XP_035351140.1	XP_025565288.1	gene_07642.t1	gene_04473.t1	gene_00317.t1	gene_07648.t1	gene_01895.t1	gene_05030.t1	gene_01656.t1	XP_026624921.1	XP_957491.2
OG0002081	XP_025382953.1	XP_041541539.1	XP_025474386.1	XP_059606600.1	XP_025449834.1	XP_025512837.1	XP_035351135.1	XP_025565282.1	gene_07647.t1	gene_04478.t1	gene_00322.t1	gene_07643.t1	gene_01900.t1	gene_05035.t1	gene_01661.t1	XP_026624926.1	XP_958132.2
OG0002082	XP_025382956.1	XP_041541537.1	XP_025474389.1	XP_059606607.1	XP_025449840.1	XP_025512835.1	XP_035351133.1	XP_025565280.1	gene_07650.t1	gene_04482.t1	gene_00325.t1	gene_07639.t1	gene_01904.t1	gene_05039.t1	gene_01664.t1	XP_026624930.1	XP_962144.1
OG0002083	XP_025382957.1	XP_041541536.1	XP_025474390.1	XP_001398993.1	XP_025449841.1	XP_025512834.1	XP_035351132.1	XP_025565279.1	gene_07651.t1	gene_04483.t1	gene_00326.t1	gene_07638.t1	gene_01905.t1	gene_05040.t1	gene_01665.t1	XP_026624932.1	XP_960819.1
OG0002084	XP_025382960.1	XP_041541532.1	XP_025474394.1	XP_001398997.1	XP_025449845.1	XP_025512830.1	XP_035351129.1	XP_025565276.1	gene_07655.t1	gene_04488.t1	gene_00331.t1	gene_07633.t1	gene_01909.t1	gene_05044.t1	gene_01670.t1	XP_026624938.1	XP_964664.1
OG0002085	XP_025382961.1	XP_041541531.1	XP_025474395.1	XP_001398998.1	XP_025449846.1	XP_025512829.1	XP_035351128.1	XP_025565275.1	gene_07656.t1	gene_04489.t1	gene_00332.t1	gene_07632.t1	gene_01910.t1	gene_05045.t1	gene_01671.t1	XP_026624939.1	XP_963887.3
