GENE_ID,GO_IDs
gene_11020,"GO:0006582,GO:0006725,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009987,GO:0018958,GO:0019438,GO:0019748,GO:0030638,GO:0030640,GO:0042438,GO:0042440,GO:0044237,GO:0044249,GO:0044550,GO:0046148,GO:0046189,GO:0071704,GO:0090487,GO:1901360,GO:1901362,GO:1901575,GO:1901576,GO:1901615,GO:1901617"
gene_02301,"GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0018130,GO:0019184,GO:0019748,GO:0034641,GO:0043043,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044550,GO:0046483,GO:0071704,GO:1900788,GO:1900790,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"
gene_04754,"GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0018130,GO:0019184,GO:0019748,GO:0034641,GO:0043043,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044550,GO:0046483,GO:0071704,GO:1900788,GO:1900790,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"
gene_07269,"GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0018130,GO:0019184,GO:0019748,GO:0034641,GO:0043043,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044550,GO:0046483,GO:0071704,GO:1900788,GO:1900790,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"
gene_01255,"GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009405,GO:0009847,GO:0009987,GO:0019184,GO:0019748,GO:0032502,GO:0034641,GO:0043043,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044419,GO:0051704,GO:0071704,GO:1901564,GO:1901566,GO:1901576"
gene_09589,"GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009237,GO:0009987,GO:0019184,GO:0019290,GO:0019748,GO:0034641,GO:0043043,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044550,GO:0051186,GO:0051188,GO:0071704,GO:1901564,GO:1901566,GO:1901576"
gene_07552,"GO:0006518,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009403,GO:0009404,GO:0009987,GO:0016999,GO:0017000,GO:0017144,GO:0018130,GO:0019748,GO:0034641,GO:0043043,GO:0043385,GO:0043386,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044272,GO:0044550,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:2001308,GO:2001310"
gene_03239,"GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0019538,GO:0043170,GO:0044238,GO:0071704,GO:1901564"
gene_02865,"GO:0006508,GO:0006511,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0010498,GO:0019538,GO:0019941,GO:0030163,GO:0043161,GO:0043170,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0051603,GO:0071704,GO:1901564,GO:1901565,GO:1901575"
gene_04846,"GO:0006508,GO:0006511,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0010033,GO:0010243,GO:0010498,GO:0019538,GO:0019941,GO:0030163,GO:0030433,GO:0033554,GO:0034976,GO:0036503,GO:0042221,GO:0043161,GO:0043170,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0050896,GO:0051603,GO:0051716,GO:0071704,GO:1901564,GO:1901565,GO:1901575,GO:1901698"
gene_06398,"GO:0006355,GO:0006357,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0045893,GO:0045935,GO:0045944,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0080090,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141"
gene_00349,"GO:0006139,GO:0006396,GO:0006399,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016070,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:1901360"
gene_00387,"GO:0006139,GO:0006163,GO:0006725,GO:0006732,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009144,GO:0009150,GO:0009199,GO:0009205,GO:0009259,GO:0009987,GO:0018130,GO:0019538,GO:0019637,GO:0019693,GO:0032324,GO:0034641,GO:0042278,GO:0043170,GO:0043545,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044281,GO:0046039,GO:0046128,GO:0046483,GO:0051186,GO:0051188,GO:0051189,GO:0055086,GO:0071704,GO:0072521,GO:0090407,GO:1901068,GO:1901135,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657"
gene_02590,"GO:0006082,GO:0006725,GO:0006732,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009987,GO:0016053,GO:0018958,GO:0019438,GO:0019748,GO:0019752,GO:0032787,GO:0042180,GO:0042181,GO:0043436,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044550,GO:0046189,GO:0046394,GO:0051186,GO:0051188,GO:0071704,GO:0072330,GO:1900600,GO:1900602,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617,GO:1901661,GO:1901663"
gene_07329,"GO:0006082,GO:0006725,GO:0006732,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009987,GO:0016053,GO:0018958,GO:0019438,GO:0019748,GO:0019752,GO:0032787,GO:0042180,GO:0042181,GO:0043436,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044550,GO:0046189,GO:0046394,GO:0051186,GO:0051188,GO:0071704,GO:0072330,GO:1900600,GO:1900602,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617,GO:1901661,GO:1901663"
gene_05936,"GO:0006082,GO:0006725,GO:0006732,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009987,GO:0010958,GO:0010963,GO:0016053,GO:0018958,GO:0019438,GO:0019748,GO:0019752,GO:0023052,GO:0031929,GO:0032787,GO:0032879,GO:0032890,GO:0032891,GO:0032892,GO:0034762,GO:0034763,GO:0034764,GO:0034765,GO:0034766,GO:0034767,GO:0035556,GO:0042180,GO:0042181,GO:0043269,GO:0043270,GO:0043271,GO:0043436,GO:0044070,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044550,GO:0046189,GO:0046394,GO:0048518,GO:0048519,GO:0048583,GO:0048584,GO:0048585,GO:0050789,GO:0050794,GO:0050896,GO:0051049,GO:0051050,GO:0051051,GO:0051186,GO:0051188,GO:0051716,GO:0051952,GO:0051953,GO:0051954,GO:0051955,GO:0051956,GO:0051957,GO:0065007,GO:0070881,GO:0071704,GO:0072330,GO:1900600,GO:1900602,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617,GO:1901661,GO:1901663,GO:1902834,GO:1902835,GO:1903789,GO:1903792,GO:1903793,GO:1903959,GO:1903960,GO:1903961,GO:1904062,GO:1904063,GO:1904064,GO:1905541,GO:1905589,GO:1905735,GO:1905736,GO:2001023,GO:2001024,GO:2001025"
gene_03656,"GO:0006082,GO:0006520,GO:0006525,GO:0006576,GO:0006595,GO:0006596,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009064,GO:0009308,GO:0009309,GO:0009445,GO:0009446,GO:0009987,GO:0019752,GO:0033388,GO:0034641,GO:0042401,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0071704,GO:0097164,GO:1901564,GO:1901566,GO:1901576,GO:1901605"
gene_06992,"GO:0006082,GO:0006518,GO:0006807,GO:0006873,GO:0006875,GO:0006879,GO:0006950,GO:0007154,GO:0008150,GO:0008152,GO:0009058,GO:0009237,GO:0009267,GO:0009605,GO:0009987,GO:0009991,GO:0010106,GO:0019184,GO:0019290,GO:0019539,GO:0019725,GO:0019748,GO:0030003,GO:0031168,GO:0031169,GO:0031170,GO:0031171,GO:0031667,GO:0031668,GO:0031669,GO:0033212,GO:0033554,GO:0034641,GO:0042592,GO:0042594,GO:0043043,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044550,GO:0046916,GO:0048878,GO:0050801,GO:0050896,GO:0051186,GO:0051188,GO:0051716,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0065007,GO:0065008,GO:0071496,GO:0071704,GO:0098771,GO:1901564,GO:1901566,GO:1901576"
gene_05905,"GO:0006066,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0017144,GO:0018130,GO:0019748,GO:0019751,GO:0030638,GO:0030639,GO:0034311,GO:0034312,GO:0042180,GO:0042181,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044550,GO:0046165,GO:0046173,GO:0046483,GO:0071704,GO:1900552,GO:1900554,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617,GO:1902644,GO:1902645,GO:1902652,GO:1902653"
gene_09587,"GO:0006066,GO:0006518,GO:0006629,GO:0006694,GO:0006696,GO:0006807,GO:0006873,GO:0006875,GO:0006879,GO:0006950,GO:0007154,GO:0008150,GO:0008152,GO:0008202,GO:0008204,GO:0008610,GO:0009058,GO:0009267,GO:0009605,GO:0009987,GO:0009991,GO:0010106,GO:0016125,GO:0016126,GO:0016128,GO:0016129,GO:0019184,GO:0019725,GO:0019748,GO:0030003,GO:0031667,GO:0031668,GO:0031669,GO:0033554,GO:0034641,GO:0042592,GO:0042594,GO:0043043,GO:0043603,GO:0043604,GO:0044107,GO:0044108,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044271,GO:0044281,GO:0044283,GO:0044550,GO:0046165,GO:0046916,GO:0048878,GO:0050801,GO:0050896,GO:0051716,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0065007,GO:0065008,GO:0071496,GO:0071704,GO:0097384,GO:0098771,GO:1900549,GO:1900551,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901615,GO:1901617,GO:1902652,GO:1902653"
gene_03741,"GO:0005575,GO:0032991"
gene_03742,"GO:0005575,GO:0032991"
gene_08519,"GO:0005575,GO:0016020,GO:0016021,GO:0031224,GO:0044425"
gene_09759,"GO:0005575,GO:0016020,GO:0016021,GO:0031224,GO:0044425"
gene_10537,"GO:0005575,GO:0016020,GO:0016021,GO:0031224,GO:0044425"
gene_01341,"GO:0005575,GO:0016020"
gene_03240,"GO:0005575,GO:0016020"
gene_06027,"GO:0005575,GO:0016020"
gene_06602,"GO:0005575,GO:0016020"
gene_08595,"GO:0005575,GO:0016020"
gene_00875,"GO:0005575,GO:0005623,GO:0012505,GO:0044464"
gene_11544,"GO:0005575,GO:0005623,GO:0009986,GO:0044464"
gene_01897,"GO:0005575,GO:0005623,GO:0005933,GO:0005937,GO:0030427,GO:0042995,GO:0043332,GO:0044463,GO:0044464,GO:0051286,GO:0120025,GO:0120038"
gene_08846,"GO:0005575,GO:0005623,GO:0005933,GO:0005937,GO:0030427,GO:0042995,GO:0043332,GO:0044463,GO:0044464,GO:0051286,GO:0120025,GO:0120038"
gene_02307,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"
gene_03096,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"
gene_03919,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"
gene_05646,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"
gene_07723,"GO:0005575,GO:0005623,GO:0005886,GO:0009897,GO:0009986,GO:0016020,GO:0031224,GO:0031225,GO:0031226,GO:0031233,GO:0031362,GO:0044425,GO:0044459,GO:0044464,GO:0046658,GO:0071944,GO:0098552"
gene_02960,"GO:0005575,GO:0005623,GO:0005886,GO:0007155,GO:0008150,GO:0016020,GO:0016021,GO:0022610,GO:0031224,GO:0044425,GO:0044464,GO:0071944"
gene_03213,"GO:0005575,GO:0005623,GO:0005886,GO:0007154,GO:0007165,GO:0007186,GO:0008150,GO:0009987,GO:0016020,GO:0023052,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0071944"
gene_08470,"GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006886,GO:0006897,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0016020,GO:0016192,GO:0032991,GO:0033036,GO:0034613,GO:0042886,GO:0044464,GO:0045184,GO:0046907,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0070727,GO:0071702,GO:0071705,GO:0071944,GO:0098657"
gene_02242,"GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0044425,GO:0044459,GO:0044464,GO:0071944"
gene_02396,"GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006892,GO:0006893,GO:0008150,GO:0016020,GO:0016021,GO:0016192,GO:0031224,GO:0031226,GO:0044425,GO:0044459,GO:0044464,GO:0048193,GO:0051179,GO:0051234,GO:0071944,GO:0098876"
gene_06228,"GO:0005575,GO:0005622,GO:0005623,GO:0006109,GO:0006111,GO:0006508,GO:0006511,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010498,GO:0010675,GO:0010677,GO:0010906,GO:0019222,GO:0019538,GO:0019941,GO:0030163,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032991,GO:0034657,GO:0043161,GO:0043170,GO:0043255,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044464,GO:0045721,GO:0045912,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051603,GO:0062012,GO:0062014,GO:0065007,GO:0071704,GO:0080090,GO:1901564,GO:1901565,GO:1901575"
gene_03285,"GO:0005575,GO:0005622,GO:0005623,GO:0005834,GO:0005886,GO:0008150,GO:0008277,GO:0009898,GO:0009966,GO:0009968,GO:0010646,GO:0010648,GO:0010969,GO:0016020,GO:0019897,GO:0019898,GO:0023051,GO:0023057,GO:0031137,GO:0031234,GO:0032991,GO:0043900,GO:0044424,GO:0044425,GO:0044459,GO:0044464,GO:0045744,GO:0046999,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0050789,GO:0050794,GO:0060238,GO:0060240,GO:0065007,GO:0071944,GO:0090029,GO:0098552,GO:0098562,GO:0098796,GO:0098797,GO:1902494,GO:1905360,GO:2000241,GO:2000242"
gene_00871,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"
gene_02445,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"
gene_02634,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"
gene_02737,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"
gene_06125,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"
gene_07082,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"
gene_08127,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"
gene_08139,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"
gene_09197,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"
gene_09706,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"
gene_11426,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"
gene_03499,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0009987,GO:0016043,GO:0022607,GO:0034622,GO:0043248,GO:0043933,GO:0044085,GO:0044424,GO:0044464,GO:0065003,GO:0071840"
gene_06859,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0008361,GO:0009987,GO:0016020,GO:0016021,GO:0016043,GO:0031224,GO:0032535,GO:0044424,GO:0044425,GO:0044464,GO:0065007,GO:0065008,GO:0071840,GO:0090066"
gene_09198,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0008361,GO:0009987,GO:0016020,GO:0016021,GO:0016043,GO:0031224,GO:0032535,GO:0044424,GO:0044425,GO:0044464,GO:0065007,GO:0065008,GO:0071840,GO:0090066"
gene_05228,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006950,GO:0006970,GO:0008150,GO:0009628,GO:0009651,GO:0044424,GO:0044464,GO:0050896"
gene_00469,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006810,GO:0006887,GO:0008150,GO:0009987,GO:0016192,GO:0032940,GO:0044424,GO:0044464,GO:0046903,GO:0051179,GO:0051234"
gene_09173,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006605,GO:0006623,GO:0006810,GO:0006886,GO:0006892,GO:0006896,GO:0007034,GO:0008104,GO:0008150,GO:0009405,GO:0015031,GO:0015833,GO:0016020,GO:0016192,GO:0030117,GO:0030119,GO:0030123,GO:0032991,GO:0033036,GO:0033365,GO:0034613,GO:0042886,GO:0044419,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0045184,GO:0046907,GO:0048193,GO:0048475,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0051704,GO:0070727,GO:0071702,GO:0071705,GO:0072594,GO:0072665,GO:0072666,GO:0098796"
