Orthogroup,query,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,blast hits,best hit (e-value|query coverage|percent identity),interproscan result,found,fpkm
OG0012929,gene_05549.t1,0,1025,"KOG0021@1|root,KOG0021@2759|Eukaryota,38D2F@33154|Opisthokonta,3NU0F@4751|Fungi,3QKPQ@4890|Ascomycota,20EX9@147545|Eurotiomycetes,3S8AG@5042|Eurotiales",4751|Fungi,Q,Glutathione synthetase,GSH2,"GO:0003674,GO:0003824,GO:0004363,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006518,GO:0006520,GO:0006575,GO:0006749,GO:0006750,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016874,GO:0016879,GO:0016881,GO:0019184,GO:0019752,GO:0033218,GO:0034641,GO:0042277,GO:0042398,GO:0043043,GO:0043167,GO:0043168,GO:0043295,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0048037,GO:0051186,GO:0051188,GO:0071704,GO:0072341,GO:1900750,GO:1901564,GO:1901566,GO:1901576,GO:1901681",6.3.2.3,ko:K21456,"ko00270,ko00480,ko01100,ko04216,map00270,map00480,map01100,map04216",M00118,"R00497,R10994","RC00096,RC00141","ko00000,ko00001,ko00002,ko01000,ko04147",-,-,"iMM904.YOL049W,iND750.YOL049W",GSH_synth_ATP,"one hit, a. niger",2e-142|78%|95.65%,https://www.ebi.ac.uk/interpro/result/InterProScan/iprscan5-R20250727-163509-0991-74695163-p1m/internal-1753630499696-309-1/,onlya glycine rich disorder prot region,
OG0016345,gene_05801.t1,0,1700,"COG0666@1|root,KOG4177@2759|Eukaryota,38HUR@33154|Opisthokonta,3P113@4751|Fungi,3QJXZ@4890|Ascomycota,20D8D@147545|Eurotiomycetes,3S7XT@5042|Eurotiales",4751|Fungi,S,and Ankyrin domain protein,-,-,-,-,-,-,-,-,-,-,-,-,"Ank,Ank_2,Ank_4,NACHT,PNP_UDP_1","2 A species, somewhat significant hit",1e-58|60%|100%,https://www.ebi.ac.uk/interpro/result/InterProScan/iprscan5-R20250727-164221-0913-81149304-p1m/internal-1753630933210-370-1/,only a disorder region,
OG0013066,gene_10469.t1,0,4590,"COG3321@1|root,KOG1202@2759|Eukaryota,38D6P@33154|Opisthokonta,3NWH8@4751|Fungi,3QPGD@4890|Ascomycota,20FM2@147545|Eurotiomycetes,3S4SM@5042|Eurotiales",4751|Fungi,I,polyketide synthase,-,-,-,-,-,-,-,-,-,-,-,-,"ADH_N,ADH_zinc_N,ADH_zinc_N_2,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,PP-binding,PS-DH,ketoacyl-synt",only 4 hit a.niger and luchuensis,4e-11|100%,,only disorder pred region,
OG0012694,gene_10936.t1,0,1195,"COG0306@1|root,KOG2493@2759|Eukaryota,38HXZ@33154|Opisthokonta,3NUM9@4751|Fungi,3QN4C@4890|Ascomycota,20FY2@147545|Eurotiomycetes,3S3Y4@5042|Eurotiales",4751|Fungi,P,Sodium-phosphate symporter which plays a fundamental housekeeping role in phosphate transport,-,-,-,ko:K14640,-,-,-,-,"ko00000,ko02000",2.A.20.2,-,-,PHO4,only 3 A. species,3e-57|77%|95.79%,https://www.ebi.ac.uk/interpro/result/InterProScan/iprscan5-R20250727-165847-0843-1405778-p1m/internal-1753631923425-434-1/,membrane protein typical of transporter or signalling receptor,
OG0011202,gene_10943.t1,0,1444,"COG0666@1|root,KOG4177@2759|Eukaryota,39T9I@33154|Opisthokonta,3P185@4751|Fungi,3QSMW@4890|Ascomycota,20D4S@147545|Eurotiomycetes,3S44S@5042|Eurotiales",4751|Fungi,M,ankyrin repeat,-,-,-,-,-,-,-,-,-,-,-,-,"Ank_2,Ank_3,Ank_4",several A. sepcies,1e-40|100%| 98.51%,https://www.ebi.ac.uk/interpro/result/InterProScan/iprscan5-R20250727-192526-0923-65866035-p1m/internal-1753640721593-1-1/,two disorder region,
OG0012478,gene_12098.t1,0,3848,"COG1020@1|root,KOG1178@2759|Eukaryota,3AI4N@33154|Opisthokonta,3PCSQ@4751|Fungi,3RJE0@4890|Ascomycota,20T3W@147545|Eurotiomycetes,3SCJP@5042|Eurotiales",4751|Fungi,Q,Male sterility protein,-,-,-,-,-,-,-,-,-,-,-,-,"AMP-binding,Condensation,NAD_binding_4,PP-binding",several species from different genus,1e-50|100%|94.25%,https://www.ebi.ac.uk/interpro/result/InterProScan/iprscan5-R20250727-194357-0752-48471530-p1m/internal-1753641827686-79-1/,"ABC transporter like protein, secretory protein with no transmembrane domain",
OG0014677,gene_12927.t1,0,1009,"KOG0254@1|root,KOG0254@2759|Eukaryota,39RQP@33154|Opisthokonta,3P1CH@4751|Fungi,3QQT6@4890|Ascomycota,20RZD@147545|Eurotiomycetes,3S4TF@5042|Eurotiales",4751|Fungi,P,Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family,-,-,-,-,-,-,-,-,-,-,-,-,Sugar_tr,"only A species,,less signoficant hit","6e-48,+|57%|76.99%","small secrered protein, to TM",https://www.ebi.ac.uk/interpro/result/InterProScan/iprscan5-R20250727-124809-0760-87888838-p1m/internal-1753616882579-9-1/,
OG0011457,gene_12956.t1,0,1010,"KOG0254@1|root,KOG0254@2759|Eukaryota,38HIV@33154|Opisthokonta,3NZ12@4751|Fungi,3QPQQ@4890|Ascomycota,20MIY@147545|Eurotiomycetes,3SCQG@5042|Eurotiales",4751|Fungi,U,Major Facilitator Superfamily,-,-,-,-,-,-,-,-,-,-,-,-,MFS_1,"closely matched with p. mononematosum, with sevral penicillium and aspergillus species",0| 94% | 75.48%,https://www.ebi.ac.uk/interpro/result/InterProScan/iprscan5-R20250727-125311-0267-81638092-p1m/internal-1753617186677-1-1/,ribonuclease inhibitor domain,
OG0013593,gene_00051.t1,0,1392,"COG2303@1|root,KOG1238@2759|Eukaryota,39WF6@33154|Opisthokonta,3P0D9@4751|Fungi,3QP0I@4890|Ascomycota,20S0V@147545|Eurotiomycetes,3SF11@5042|Eurotiales",4751|Fungi,E,Cellobiose dehydrogenase,-,-,1.1.99.18,ko:K19069,-,-,-,-,"ko00000,ko01000",-,-,-,"CBM_1,CDH-cyt,GMC_oxred_C,GMC_oxred_N",,,,,
OG0016339,gene_00163.t1,0,2668,"28H8I@1|root,2QPM9@2759|Eukaryota,39JZ9@33154|Opisthokonta,3Q4C2@4751|Fungi,3RMI4@4890|Ascomycota,20TZ7@147545|Eurotiomycetes,3S7ZA@5042|Eurotiales",4751|Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
OG0015458,gene_00166.t1,1.93E-303,827,"COG5024@1|root,KOG0653@2759|Eukaryota,39V2P@33154|Opisthokonta,3NVG0@4751|Fungi,3QR4D@4890|Ascomycota,20CZB@147545|Eurotiomycetes,3S6GW@5042|Eurotiales",4751|Fungi,D,Belongs to the cyclin family,-,-,-,-,-,-,-,-,-,-,-,-,"Cyclin_C,Cyclin_N",,,,,
OG0012907,gene_00398.t1,0,1247,"28KX1@1|root,2QTDM@2759|Eukaryota,396V3@33154|Opisthokonta,3NXFH@4751|Fungi,3QNAW@4890|Ascomycota,20CAB@147545|Eurotiomycetes,3S2QS@5042|Eurotiales",4751|Fungi,S,Transcriptional regulator Medusa,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
OG0010962,gene_00423.t1,0,934,"COG0366@1|root,KOG0471@2759|Eukaryota,38EYC@33154|Opisthokonta,3NV3E@4751|Fungi,3QK27@4890|Ascomycota,20CA0@147545|Eurotiomycetes,3S3PZ@5042|Eurotiales",4751|Fungi,G,alpha-amylase,-,"GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0004553,GO:0004556,GO:0005488,GO:0005509,GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0005975,GO:0005976,GO:0007049,GO:0008150,GO:0008152,GO:0008360,GO:0009272,GO:0009653,GO:0009897,GO:0009986,GO:0009987,GO:0010927,GO:0016020,GO:0016043,GO:0016160,GO:0016787,GO:0016798,GO:0019953,GO:0022402,GO:0022413,GO:0022414,GO:0022603,GO:0022604,GO:0022607,GO:0030154,GO:0030312,GO:0030435,GO:0030437,GO:0030476,GO:0031224,GO:0031225,GO:0031226,GO:0031233,GO:0031362,GO:0031505,GO:0032502,GO:0032505,GO:0032989,GO:0034293,GO:0042244,GO:0042546,GO:0043167,GO:0043169,GO:0043170,GO:0043934,GO:0043935,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044262,GO:0044264,GO:0044425,GO:0044459,GO:0044464,GO:0044703,GO:0045229,GO:0046379,GO:0046658,GO:0046872,GO:0048468,GO:0048646,GO:0048856,GO:0048869,GO:0050789,GO:0050793,GO:0050794,GO:0051128,GO:0051321,GO:0051704,GO:0065007,GO:0065008,GO:0070590,GO:0070591,GO:0070726,GO:0071554,GO:0071555,GO:0071704,GO:0071840,GO:0071852,GO:0071940,GO:0071944,GO:0098552,GO:1903046",3.2.1.1,ko:K01176,"ko00500,ko01100,ko04973,map00500,map01100,map04973",-,"R02108,R02112,R11262",-,"ko00000,ko00001,ko01000",-,GH13,-,"Alpha-amylase,DUF1966",,,,,
OG0010416,gene_00505.t1,0,1559,"COG0480@1|root,KOG0465@2759|Eukaryota,38GUI@33154|Opisthokonta,3NV2U@4751|Fungi,3QNG6@4890|Ascomycota,20F5T@147545|Eurotiomycetes,3S49I@5042|Eurotiales",4751|Fungi,J,"Mitochondrial GTPase that catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A- site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome",MEF1,"GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005829,GO:0006412,GO:0006414,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019538,GO:0032543,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0034641,GO:0034645,GO:0035639,GO:0036094,GO:0043043,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0070125,GO:0071704,GO:0097159,GO:0097367,GO:0140053,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576",-,ko:K02355,-,-,-,-,"ko00000,ko03012,ko03029",-,-,-,"EFG_C,EFG_II,EFG_IV,GTP_EFTU,GTP_EFTU_D2",,,,,
OG0011953,gene_00667.t1,0,1697,"28N3I@1|root,2QUNM@2759|Eukaryota,39TWN@33154|Opisthokonta,3NWUR@4751|Fungi,3QRS8@4890|Ascomycota,20C8E@147545|Eurotiomycetes,3S5DB@5042|Eurotiales",4751|Fungi,-,-,-,"GO:0000054,GO:0000055,GO:0000056,GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005643,GO:0006403,GO:0006405,GO:0006406,GO:0006606,GO:0006611,GO:0006810,GO:0006886,GO:0006913,GO:0008104,GO:0008150,GO:0008152,GO:0010467,GO:0012505,GO:0015031,GO:0015833,GO:0015931,GO:0017038,GO:0022613,GO:0031503,GO:0031967,GO:0031975,GO:0032991,GO:0033036,GO:0033365,GO:0033750,GO:0034504,GO:0034613,GO:0042254,GO:0042886,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044085,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0044612,GO:0044614,GO:0045184,GO:0046907,GO:0050657,GO:0050658,GO:0051028,GO:0051168,GO:0051169,GO:0051170,GO:0051179,GO:0051234,GO:0051236,GO:0051640,GO:0051641,GO:0051649,GO:0051656,GO:0070727,GO:0071166,GO:0071426,GO:0071427,GO:0071428,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0072594",-,ko:K18719,-,-,-,-,"ko00000,ko03019",1.I.1,-,-,Nup88,,,,,
OG0016340,gene_00670.t1,0,1606,"KOG2262@1|root,KOG2262@2759|Eukaryota,38D6E@33154|Opisthokonta,3NUA6@4751|Fungi,3QPPH@4890|Ascomycota,20M0R@147545|Eurotiomycetes,3S35J@5042|Eurotiales",4751|Fungi,T,oligopeptide transporter,OPT7,-,-,-,-,-,-,-,-,-,-,-,OPT,,,,,
OG0012391,gene_00693.t1,0,1249,"2B95T@1|root,2S0TA@2759|Eukaryota,3A4Q7@33154|Opisthokonta,3P489@4751|Fungi,3RJD9@4890|Ascomycota,20DP0@147545|Eurotiomycetes,3S532@5042|Eurotiales",4751|Fungi,Q,Transcription factor,-,-,-,-,-,-,-,-,-,-,-,-,"Fungal_trans,Zn_clus",,,,,
